recording_id,sensor,schema_ok,n_samples,start_s,end_s,duration_s,sampling_rate_hz,min_interval_s,max_interval_s,largest_gap_over_median,missing_values,infinite_values,duplicate_rows,duplicate_timestamps,non_positive_intervals,non_positive_epoch_intervals,clock_interval_difference_max_s,integer_timestamp,participant_id,class
R009,Accelerometer,True,5303,0.037502197265625,53.09446337890625,53.056961181640624,99.93168732312492,0.010004882812502558,0.01188183593750125,1.187371913731044,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R009,Gyroscope,True,5303,0.037502197265625,53.09446337890625,53.056961181640624,99.93168732312492,0.010004882812502558,0.01188183593750125,1.187371913731044,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R009,Gravity,True,5303,0.037502197265625,53.09446337890625,53.056961181640624,99.93168732312492,0.010004882812502558,0.01188183593750125,1.187371913731044,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R010,Accelerometer,True,4873,0.036549560546875,48.79020776367187,48.753658203125,99.93412545440997,0.010005126953132049,0.011883056640627387,1.1875228731063168,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R010,Gyroscope,True,4873,0.036549560546875,48.79020776367187,48.753658203125,99.93412545440997,0.010005126953132049,0.011883056640627387,1.1875228731063168,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R010,Gravity,True,4873,0.036549560546875,48.79020776367187,48.753658203125,99.93412545440997,0.010005126953132049,0.011883056640627387,1.1875228731063168,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R011,Accelerometer,True,3750,0.054333251953125,37.570392822265624,37.5160595703125,99.93900207392807,0.010004882812499005,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R011,Gyroscope,True,3750,0.054333251953125,37.570392822265624,37.5160595703125,99.93900207392807,0.010004882812499005,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R011,Gravity,True,3750,0.054333251953125,37.570392822265624,37.5160595703125,99.93900207392807,0.010004882812499005,0.011883056640627387,1.1875808222522652,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R012,Accelerometer,True,4475,0.040574951171875,44.81286645507812,44.772291503906246,99.93168732308945,0.010005371093747328,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R012,Gyroscope,True,4475,0.040574951171875,44.81286645507812,44.772291503906246,99.93168732308945,0.010005371093747328,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R012,Gravity,True,4475,0.040574951171875,44.81286645507812,44.772291503906246,99.93168732308945,0.010005371093747328,0.011883056640620282,1.1874939006530276,0,0,0,0,0,0,4.082031265350422e-07,True,P01,bumpy
R013,Accelerometer,True,5209,0.091088623046875,52.38585986328125,52.294771240234375,99.59151915969949,0.010038818359376478,0.010043212890622044,1.000218829021326,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
R013,Gyroscope,True,5209,0.091088623046875,52.38585986328125,52.294771240234375,99.59151915969949,0.010038818359376478,0.010043212890622044,1.000218829021326,0,0,0,0,0,0,3.1562500281412387e-07,True,P02,smooth
